[2020-03-09 22:44:40] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:44:43] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:44:47] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:44:49] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:45:03] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:45:05] ::1 an anonymous user accessed dir Users/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:45:09] ::1 an anonymous user accessed dir Users/Guillaume/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:45:15] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:45:20] ::1 an anonymous user accessed file Users/Guillaume/Downloads/banniere.jpg (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:45:52] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:48:57] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:50:59] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:53:36] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:54:49] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:56:12] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 22:57:40] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:05:36] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:07:09] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:07:14] ::1 an anonymous user accessed dir Users/Guillaume/Downloads/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:07:17] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:10:49] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:12:15] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:13:21] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:15:32] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:16:02] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:17:20] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:20:06] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
[2020-03-09 23:25:14] ::1 an anonymous user accessed dir  (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36)
